代码,公司名称-英文,公司名称-中文,国家/地区,市值,比特币占市值比重,持仓成本,持仓占比,持仓量,当日持仓市值,查询日期,公告链接,分类,倍数
MSTR:NADQ,MicroStrategy,,美国,,,,0.725,152333,4624823786.68,2023-07-13,Filing,上市公司,
MARA:NADQ,Marathon Digital Holdings Inc,,美国,,,,0.06,12538,380653178.48,2023-07-13,Filing,上市公司,
TSLA:NADQ,"Tesla, Inc",,美国,,,,0.051,10725,325610571.0,2023-07-13,Filing,上市公司,
HUT:NASDAQ,Hut 8 Mining Corp,加拿大加密货币挖矿公司,加拿大,,,,0.044,9136,277368594.56,2023-07-13,Filing,上市公司,
COIN:NADQ,"Coinbase Global, Inc.",美国加密货币交易所,美国,,,,0.043,9000,273239640.0,2023-07-13,Filing,上市公司,
BRPHF:OTCMKTS,Galaxy Digital Holdings,加拿大加密投资银行,美国,,,,0.039,8100,245915676.0,2023-07-13,Filing,上市公司,
SQ:NYSE,"Block, Inc.",,美国,,,,0.038,8027,243699398.92,2023-07-13,Filing,上市公司,
RIOT:NADQ,"Riot Platforms, Inc.",,美国,,,,0.035,7250,220109710.0,2023-07-13,Filing,上市公司,
BTGGF:TCMKTS,Bitcoin Group SE,德国加密货币交易所,德国,,,,0.018,3830,116278646.8,2023-07-13,Filing,上市公司,
VOYG:TSX,Voyager Digital LTD,加密经纪公司,加拿大,,,,0.011,2287,69433228.52,2023-07-13,Filing,上市公司,
HIVE:NASDAQ,Hive Blockchain,比特币矿业公司,加拿大,,,,0.009,1957,59414441.72,2023-07-13,Filing,上市公司,
NEXOF:OTCMKTS,NEXON Co. Ltd,,日本,,,,0.008,1717,52128051.32,2023-07-13,Filing,上市公司,
EXOD:OTCMKTS,Exodus Movement Inc,,美国,,,,0.006,1300,39467948.0,2023-07-13,Filing,上市公司,
HKD:HKG,Meitu,美图,中国香港,,,,0.004,941,28568722.36,2023-07-13,Filing,上市公司,
PHUN:NASDAQ,"Phunware, Inc.",,美国,,,,0.003,630,19126774.8,2023-07-13,Filing,上市公司,
NFT:AQSE,NFT Investments PLC,,英国,,,,0.003,626,19005334.96,2023-07-13,News,上市公司,
BITF:NASDAQ,Bitfarms Limited,加拿大加密货币挖矿公司,加拿大,,,,0.003,549,16667618.04,2023-07-13,Filing,上市公司,
CLSK:NASDAQ,CleanSpark Inc,,美国,,,,0.003,529,16060418.84,2023-07-13,Filing,上市公司,
DMGGF:OTCMKTS,DMG Blockchain Solutions Inc.,,加拿大,,,,0.002,509,15453219.64,2023-07-13,Filing,上市公司,
BTBT:NASDAQ,"Bit Digital, Inc.",比特币矿业公司,美国,,,,0.002,485,14724580.6,2023-07-13,Filing,上市公司,
CIFR:NASDAQ,Cipher Mining,,美国,,,,0.002,417,12660103.32,2023-07-13,Filing,上市公司,
NPPTF:OTCMKTS,Neptune Digital Assets,,加拿大,,,,0.001,257,7802509.72,2023-07-13,Filing,上市公司,
ABT:DUS,Advanced Bitcoin Technologies AG,,德国,,,,0.001,254,7711429.84,2023-07-13,Filing,上市公司,
LQWDF:OTC,LQwD FinTech Corp,,加拿大,,,,0.001,151,4584353.96,2023-07-13,Filing,上市公司,
BBKCF:OTCMKTS,BIGG Digital Assets Inc.,,加拿大,,,,0.001,150,4553994.0,2023-07-13,Filing,上市公司,
BNXAF:OTCMKTS,Banxa Holdings Inc,支付服务平台,加拿大,,,,0.001,136,4128954.56,2023-07-13,Filing,上市公司,
HSSHF:OTCMKTS,Digihost Technology Inc.,区块链公司,加拿大,,,,0.0,98,2975276.08,2023-07-13,Filing,上市公司,
BTCS:OTCMKTS,BTCS Inc.,美国比特币综合服务型公司,美国,,,,0.0,90,2732396.4,2023-07-13,Filing,上市公司,
SATO:TSXV,Canada Computational Unlimited Corp.,,加拿大,,,,0.0,75,2276997.0,2023-07-13,Filing,上市公司,
FRMO:OTCMKTS,FRMO Corp.,,美国,,,,0.0,63,1912677.48,2023-07-13,Filing,上市公司,
ARBKF:OTCMKTS,Argo Blockchain PLC,英国加密货币挖矿公司,英国,,,,0.0,44,1335838.24,2023-07-13,Filing,上市公司,
MILE:NASDAQ,Metromile,,美国,,,,0.0,25,758999.0,2023-07-13,Filing,上市公司,
MOGO:Nasdaq,MOGO Financing,美国金融科技公司,加拿大,,,,0.0,18,546479.28,2023-07-13,Filing,上市公司,
,USA,,美国,,,,0.987,207189,6290249752.44,2023-07-13,News,政府机构,
,Ukraine (govt),,乌克兰,,,,0.221,46351,1407214505.96,2023-07-13,News,政府机构,
,Mt. Gox,,日本,,,,0.952,200000,6071992000.0,2023-07-13,Filing,私营企业,
,Block.one,区块链技术服务商,中国香港,,,,0.667,140000,4250394400.0,2023-07-13,Filing,私营企业,
,Tether Holdings LTD,,中国香港,,,,0.252,53000,1609077880.0,2023-07-13,Filing,私营企业,
,The Tezos Foundation,Tezos基金会,瑞士,,,,0.083,17500,531299300.0,2023-07-13,Filing,私营企业,
,Stone Ridge Holdings Group,,美国,,,,0.048,10000,303599600.0,2023-07-13,Filing,私营企业,
,Massachusetts Mutual,,美国,,,,0.017,3500,106259860.0,2023-07-13,Filing,私营企业,
,Lisk Foundation,,瑞士,,,,0.009,1898,57623204.08,2023-07-13,Filing,私营企业,
,Seetee AS,,挪威,,,,0.006,1170,35521153.199999996,2023-07-13,Filing,私营企业,
GBTC:OTCMKTS,Grayscale Bitcoin Trust,灰度比特币信托,美国,,,,3.065,643572,19538820177.12,2023-07-13,Filing,ETF,
XBTE:NADQ,CoinShares / XBT Provider,欧洲数字资产管理公司,瑞士,,,,0.231,48466,1471425821.36,2023-07-13,Filing,ETF,
BTCC:TSX,Purpose Bitcoin ETF,,加拿大,,,,0.12,25284,767621228.64,2023-07-13,Filing,ETF,
BTCQ:TSX,3iQ CoinShares Bitcoin ETF,,加拿大,,,,0.101,21237,644754470.52,2023-07-13,Filing,ETF,
BTCE:XETRA,ETC Group Bitcoin ETP,,德国,,,,0.086,17976,545750640.96,2023-07-13,Filing,ETF,
QBTCBV:TSX,3iQ The Bitcoin Fund,加拿大投资基金管理公司,加拿大,,,,0.062,13000,394679480.0,2023-07-13,Filing,ETF,
BITW:OTCMKTS,Bitwise 10 Crypto Index Fund,Bitwise10加密指数基金,美国,,,,0.051,10784,327401808.64,2023-07-13,Filing,ETF,
OTCQX:OTCMKTS,Grayscale Digital Large Cap Fund,,美国,,,,0.035,7346,223024266.16,2023-07-13,Filing,ETF,
ABTC:SWX,21Shares AG,加密交易所交易产品发行商,瑞士,,,,0.029,6142,186470874.32,2023-07-13,Filing,ETF,
VBTC:XETRA,VanEck Vectors Bitcoin ETN,VanEck Vectors比特币交易所交易票据,德国,,,,0.019,3950,119921842.0,2023-07-13,Filing,ETF,
BTCX:TSX,CI Galaxy Bitcoin Fund,CI Galaxy比特币基金,加拿大,,,,0.015,3248,98609150.08,2023-07-13,Filing,ETF,
OBTC:OTC,Osprey Bitcoin Trust,,美国,,,,0.013,2820,85615087.2,2023-07-13,Filing,ETF,
BTC0E.AS:OTC,Valour Bitcoin Zero ETP,,加拿大,,,,0.01,2000,60719920.0,2023-07-13,News,ETF,
EBIT:TSX,Evolve Bitcoin ETF,,加拿大,,,,0.008,1663,50488613.48,2023-07-13,Filing,ETF,
BITC:TSX,Ninepoint Bitcoin Trust,加拿大投资管理公司,加拿大,,,,0.006,1200,36431952.0,2023-07-13,Filing,ETF,
FTBC:TSE,Fidelity Advantage Bitcoin ETF,,美国,,,,0.004,878,26656044.88,2023-07-13,Filing,ETF,
